image_url,type,description,model_no,product_link
https://d46lux9bf6tj0.cloudfront.net/eyJidWNrZXQiOiJhc3NldHMuZmlyZWNsYXl0aWxlLmNvbSIsImtleSI6IjIwMjFfSU1HX0hJX1JFU19JbmZsdWVuY2VyX3JpZ2h0c19yZXNpZGVudGlhbF9MYXVyZW5fQnJhZHNoYXdfRGVzaWduX3Bob3RvX0pvc2VwaF9CcmFkc2hhd19iYXRocm9vbV9zaG93ZXJfbmljaGVfYmFja3NwbGFzaF80eDRfMng2X3JvdW5kX2xpbmVyXzF4Nl9saW5lcl90cmltX3NhbmRfZHVuZV9mbG9vcl9vbHltcGljX2JyaWNrX0ZDNDAxOTY1XzYuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoxMjAwLCJoZWlnaHQiOjYzMCwicG9zaXRpb24iOiJjZW50ZXIiLCJmaXQiOiJjb3ZlciJ9LCJ0b0Zvcm1hdCI6ImpwZWciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJwcm9ncmVzc2l2ZSI6ZmFsc2UsIm9wdGltaXNlQ29kaW5nIjp0cnVlLCJ0cmVsbGlzUXVhbnRpc2F0aW9uIjp0cnVlLCJvdmVyc2hvb3REZXJpbmdpbmciOnRydWV9fX0=?mtime=1629995879,tile,"Fireclay
Tile Field 2x2
Basalt",,https://www.fireclaytile.com/tile/colors/detail/basalt/tile-field-2-x-2#specs-content
https://d46lux9bf6tj0.cloudfront.net/eyJidWNrZXQiOiJhc3NldHMuZmlyZWNsYXl0aWxlLmNvbSIsImtleSI6IjIwMjFfSU1HX0hJX1JFU19JbmZsdWVuY2VyX3JpZ2h0c19yZXNpZGVudGlhbF9MYXVyZW5fQnJhZHNoYXdfRGVzaWduX3Bob3RvX0pvc2VwaF9CcmFkc2hhd19iYXRocm9vbV9zaG93ZXJfbmljaGVfYmFja3NwbGFzaF80eDRfMng2X3JvdW5kX2xpbmVyXzF4Nl9saW5lcl90cmltX3NhbmRfZHVuZV9mbG9vcl9vbHltcGljX2JyaWNrX0ZDNDAxOTY1XzYuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoxMjAwLCJoZWlnaHQiOjYzMCwicG9zaXRpb24iOiJjZW50ZXIiLCJmaXQiOiJjb3ZlciJ9LCJ0b0Zvcm1hdCI6ImpwZWciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJwcm9ncmVzc2l2ZSI6ZmFsc2UsIm9wdGltaXNlQ29kaW5nIjp0cnVlLCJ0cmVsbGlzUXVhbnRpc2F0aW9uIjp0cnVlLCJvdmVyc2hvb3REZXJpbmdpbmciOnRydWV9fX0=?mtime=1629995879,,,,https://www.fireclaytile.com/tile/colors/detail/daisy/tile-field-2-x-2
https://d46lux9bf6tj0.cloudfront.net/eyJidWNrZXQiOiJhc3NldHMuZmlyZWNsYXl0aWxlLmNvbSIsImtleSI6IjIwMjFfSU1HX0hJX1JFU19JbmZsdWVuY2VyX3JpZ2h0c19yZXNpZGVudGlhbF9MYXVyZW5fQnJhZHNoYXdfRGVzaWduX3Bob3RvX0pvc2VwaF9CcmFkc2hhd19iYXRocm9vbV9zaG93ZXJfbmljaGVfYmFja3NwbGFzaF80eDRfMng2X3JvdW5kX2xpbmVyXzF4Nl9saW5lcl90cmltX3NhbmRfZHVuZV9mbG9vcl9vbHltcGljX2JyaWNrX0ZDNDAxOTY1XzYuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoxMjAwLCJoZWlnaHQiOjYzMCwicG9zaXRpb24iOiJjZW50ZXIiLCJmaXQiOiJjb3ZlciJ9LCJ0b0Zvcm1hdCI6ImpwZWciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJwcm9ncmVzc2l2ZSI6ZmFsc2UsIm9wdGltaXNlQ29kaW5nIjp0cnVlLCJ0cmVsbGlzUXVhbnRpc2F0aW9uIjp0cnVlLCJvdmVyc2hvb3REZXJpbmdpbmciOnRydWV9fX0=?mtime=1629995879,tile,"Fireclay Tile
Tile Field 2 x 2
Carbon",,https://www.fireclaytile.com/tile/colors/detail/carbon/tile-field-2-x-2
https://d46lux9bf6tj0.cloudfront.net/eyJidWNrZXQiOiJhc3NldHMuZmlyZWNsYXl0aWxlLmNvbSIsImtleSI6IjIwMjFfSU1HX0hJX1JFU19JbmZsdWVuY2VyX3JpZ2h0c19yZXNpZGVudGlhbF9MYXVyZW5fQnJhZHNoYXdfRGVzaWduX3Bob3RvX0pvc2VwaF9CcmFkc2hhd19iYXRocm9vbV9zaG93ZXJfbmljaGVfYmFja3NwbGFzaF80eDRfMng2X3JvdW5kX2xpbmVyXzF4Nl9saW5lcl90cmltX3NhbmRfZHVuZV9mbG9vcl9vbHltcGljX2JyaWNrX0ZDNDAxOTY1XzYuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoxMjAwLCJoZWlnaHQiOjYzMCwicG9zaXRpb24iOiJjZW50ZXIiLCJmaXQiOiJjb3ZlciJ9LCJ0b0Zvcm1hdCI6ImpwZWciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJwcm9ncmVzc2l2ZSI6ZmFsc2UsIm9wdGltaXNlQ29kaW5nIjp0cnVlLCJ0cmVsbGlzUXVhbnRpc2F0aW9uIjp0cnVlLCJvdmVyc2hvb3REZXJpbmdpbmciOnRydWV9fX0=?mtime=1629995879,tile,"Fireclay Tile
Tile Field 2x6
Caribbean",,https://www.fireclaytile.com/tile/colors/detail/caribbean/tile-field-2-x-6
https://d46lux9bf6tj0.cloudfront.net/eyJidWNrZXQiOiJhc3NldHMuZmlyZWNsYXl0aWxlLmNvbSIsImtleSI6IjIwMjFfSU1HX0hJX1JFU19JbmZsdWVuY2VyX3JpZ2h0c19yZXNpZGVudGlhbF9MYXVyZW5fQnJhZHNoYXdfRGVzaWduX3Bob3RvX0pvc2VwaF9CcmFkc2hhd19iYXRocm9vbV9zaG93ZXJfbmljaGVfYmFja3NwbGFzaF80eDRfMng2X3JvdW5kX2xpbmVyXzF4Nl9saW5lcl90cmltX3NhbmRfZHVuZV9mbG9vcl9vbHltcGljX2JyaWNrX0ZDNDAxOTY1XzYuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoxMjAwLCJoZWlnaHQiOjYzMCwicG9zaXRpb24iOiJjZW50ZXIiLCJmaXQiOiJjb3ZlciJ9LCJ0b0Zvcm1hdCI6ImpwZWciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJwcm9ncmVzc2l2ZSI6ZmFsc2UsIm9wdGltaXNlQ29kaW5nIjp0cnVlLCJ0cmVsbGlzUXVhbnRpc2F0aW9uIjp0cnVlLCJvdmVyc2hvb3REZXJpbmdpbmciOnRydWV9fX0=?mtime=1629995879,tile,"Fireclay Tile
Sea Glass
Ceramic Tile",,https://www.fireclaytile.com/tile/colors/detail/sea-glass/tile-field-2-x-6
https://d46lux9bf6tj0.cloudfront.net/eyJidWNrZXQiOiJhc3NldHMuZmlyZWNsYXl0aWxlLmNvbSIsImtleSI6IjIwMjFfSU1HX0hJX1JFU19JbmZsdWVuY2VyX3JpZ2h0c19yZXNpZGVudGlhbF9MYXVyZW5fQnJhZHNoYXdfRGVzaWduX3Bob3RvX0pvc2VwaF9CcmFkc2hhd19iYXRocm9vbV9zaG93ZXJfbmljaGVfYmFja3NwbGFzaF80eDRfMng2X3JvdW5kX2xpbmVyXzF4Nl9saW5lcl90cmltX3NhbmRfZHVuZV9mbG9vcl9vbHltcGljX2JyaWNrX0ZDNDAxOTY1XzYuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoxMjAwLCJoZWlnaHQiOjYzMCwicG9zaXRpb24iOiJjZW50ZXIiLCJmaXQiOiJjb3ZlciJ9LCJ0b0Zvcm1hdCI6ImpwZWciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJwcm9ncmVzc2l2ZSI6ZmFsc2UsIm9wdGltaXNlQ29kaW5nIjp0cnVlLCJ0cmVsbGlzUXVhbnRpc2F0aW9uIjp0cnVlLCJvdmVyc2hvb3REZXJpbmdpbmciOnRydWV9fX0=?mtime=1629995879,tile,"Fireclay
Tile Field 2x6
Mesa",,https://www.fireclaytile.com/tile/colors/detail/mesa/tile-field-2-x-6
https://d46lux9bf6tj0.cloudfront.net/eyJidWNrZXQiOiJhc3NldHMuZmlyZWNsYXl0aWxlLmNvbSIsImtleSI6IjIwMjFfSU1HX0hJX1JFU19JbmZsdWVuY2VyX3JpZ2h0c19yZXNpZGVudGlhbF9MYXVyZW5fQnJhZHNoYXdfRGVzaWduX3Bob3RvX0pvc2VwaF9CcmFkc2hhd19iYXRocm9vbV9zaG93ZXJfbmljaGVfYmFja3NwbGFzaF80eDRfMng2X3JvdW5kX2xpbmVyXzF4Nl9saW5lcl90cmltX3NhbmRfZHVuZV9mbG9vcl9vbHltcGljX2JyaWNrX0ZDNDAxOTY1XzYuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoxMjAwLCJoZWlnaHQiOjYzMCwicG9zaXRpb24iOiJjZW50ZXIiLCJmaXQiOiJjb3ZlciJ9LCJ0b0Zvcm1hdCI6ImpwZWciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJwcm9ncmVzc2l2ZSI6ZmFsc2UsIm9wdGltaXNlQ29kaW5nIjp0cnVlLCJ0cmVsbGlzUXVhbnRpc2F0aW9uIjp0cnVlLCJvdmVyc2hvb3REZXJpbmdpbmciOnRydWV9fX0=?mtime=1629995879,tile,"Fireclay
Tile Field 2x6
Bryce Canyon",,https://www.fireclaytile.com/tile/colors/detail/bryce-canyon/tile-field-2-x-6
https://d46lux9bf6tj0.cloudfront.net/eyJidWNrZXQiOiJhc3NldHMuZmlyZWNsYXl0aWxlLmNvbSIsImtleSI6IjIwMjFfSU1HX0hJX1JFU19JbmZsdWVuY2VyX3JpZ2h0c19yZXNpZGVudGlhbF9MYXVyZW5fQnJhZHNoYXdfRGVzaWduX3Bob3RvX0pvc2VwaF9CcmFkc2hhd19iYXRocm9vbV9zaG93ZXJfbmljaGVfYmFja3NwbGFzaF80eDRfMng2X3JvdW5kX2xpbmVyXzF4Nl9saW5lcl90cmltX3NhbmRfZHVuZV9mbG9vcl9vbHltcGljX2JyaWNrX0ZDNDAxOTY1XzYuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoxMjAwLCJoZWlnaHQiOjYzMCwicG9zaXRpb24iOiJjZW50ZXIiLCJmaXQiOiJjb3ZlciJ9LCJ0b0Zvcm1hdCI6ImpwZWciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJwcm9ncmVzc2l2ZSI6ZmFsc2UsIm9wdGltaXNlQ29kaW5nIjp0cnVlLCJ0cmVsbGlzUXVhbnRpc2F0aW9uIjp0cnVlLCJvdmVyc2hvb3REZXJpbmdpbmciOnRydWV9fX0=?mtime=1629995879,tile,"Fireclay Tile
Tuolumne Meadows
2x6 Ceramic Tile",,https://www.fireclaytile.com/tile/colors/detail/tuolumne-meadows/tile-field-2-x-6
,,,,
https://www.kraususa.com/media/catalog/product/cache/5fffaf341b180599be66977e19e089a1/k/w/kwu120-45-main-image-alt_dmt13i8konzc03qa.jpg,sink,"Kraus
Kore™ 2-Tier Workstation
45-Inch Undermount 16 Gauge Stainless Steel Single Bowl",KWU120-45,https://www.kraususa.com/kraus-kwu120-45-workstation-45-undermount-2-tier-16-gauge-stainless-steel-single-bowl-kitchen-sink.html
https://www.kraususa.com/media/catalog/product/cache/5fffaf341b180599be66977e19e089a1/k/h/khu100-32_1_1.jpg,kitchen sink,"Kraus
Standart PRO
32-inch 16 Gauge Undermount Single Bowl Stainless Steel Kitchen Sink",KHU100-32,https://www.kraususa.com/kraus-khu100-32-32-undermount-16-gauge-stainless-steel-single-bowl-kitchen-sink.html
,faucet,"Delta
Single-Handle Pull-Down Spring Kitchen Faucet
Chrome",9659-DST,https://www.deltafaucet.com/kitchen/product/9659-DST.html
,pot filler,"Delta
Contemporary Wall Mount Pot Filler
Arctic Stainless",1165LF-AR,https://www.deltafaucet.com/kitchen/product/1165LF-AR.html
https://www.kraususa.com/media/catalog/product/cache/d88db8e261b6f388c4668ce42fcd4be2/k/w/kwu110-32_17.jpg,kitchen sink,"Kraus
Kore
32"" Undermount 16 Gauge Single Bowl Stainless Steel Kitchen Sink with Accessories",KWU110-32,https://www.kraususa.com/kitchen/kitchen-sinks/undermount-sinks/kraus-kwu110-32-workstation-32-undermount-16-gauge-stainless-steel-single-bowl-kitchen-sink-3.html
,faucet,"Delta
Single Handle Pull-Down Kitchen Faucet
Matte Black",9159-BL-DST,https://www.deltafaucet.com/kitchen/product/9159-BL-DST
,faucet,"Delta
Single Handle Pull-Down Kitchen Faucet
Arctic Stainless",9159-AR-DST,https://www.deltafaucet.com/kitchen/product/9159-AR-DST
https://www.kraususa.com/media/catalog/product/cache/5fffaf341b180599be66977e19e089a1/k/h/khu100-26-main-image_63w8ycuv7vpq7cem.jpg,kitchen sink,"Kraus
Standart PRO™ 26-inch 16 Gauge Undermount Single Bowl Stainless Steel Kitchen Sink
Stainless Steel",KHU100-26,https://www.kraususa.com/kraus-khu100-26-26-undermount-16-gauge-stainless-steel-single-bowl-kitchen-sink.html
https://www.kraususa.com/media/catalog/product/cache/5fffaf341b180599be66977e19e089a1/k/h/khu100-32_1_1.jpg,kitchen sink,"Kraus
Standart PRO™ 32-inch 16 Gauge Undermount Single Bowl Stainless Steel Kitchen Sink
Satin Finish",KHU100-32,https://www.kraususa.com/kraus-khu100-32-32-undermount-16-gauge-stainless-steel-single-bowl-kitchen-sink.html
,,,1959LF,https://www.deltafaucet.com/kitchen/product/1959LF.html
http://static1.squarespace.com/static/5ed8a7a18f11346fbae67e2b/5ed8a80211c9095175b4ed96/5eeb42a629570314407c6ae2/1739800621913/Kast+Concrete+Basins+-+Rho.A1+-+Ivory.jpg?format=1500w,countertop washbasin,"Kast Concrete Basins
Rho
Ivory",,https://kastconcretebasins.com/products/p/rho
https://kohler.scene7.com/is/image/PAWEB/T14413-3-BL_ISO_d2c0000661_rgb,faucet,"Kohler
Purist
Wall-Mount Bathroom Sink Faucet Trim with Cross Handles",K-T14413-3,https://www.us.kohler.com/us/purist-widespread-wall-mount-bathroom-sink-faucet-trim-with-6-1-4-spout-and-cross-handles-requires-valve/productDetail/sink-faucets/421576.htm?skuId=1298133&brandId=1152540
https://kohler.scene7.com/is/image/PAWEB/T97328-4-BL_ISO_d2c0014850_rgb,bathtub faucet,"Kohler
Purist
Floor-mount bath filler trim with handshower",K-T97328-4-CP,https://www.us.kohler.com/us/purist-floor-mount-bath-filler-trim-with-handshower/productDetail/bathtub-faucets-fillers/1095363.htm?skuId=1363332
https://kohler.scene7.com/is/image/PAWEB/2882-0_ISO_d2c0047345_rgb,bathroom sink,"Kohler
Verticyl
19-3/4"" Rectangular Undermount Bathroom Sink",K-2882-0,https://www.us.kohler.com/us/verticyl-rectangular-undermount-bathroom-sink/productDetail/bathroom-sinks/427425.htm
https://kohler.scene7.com/is/image/PAWEB/aag09702_rgb,sink faucet,"Kohler
Purist
Single-handle bathroom sink faucet with straight lever handle, 1.2 gpm",K-14402-4A,https://www.us.kohler.com/us/purist-single-handle-bathroom-sink-faucet-with-straight-lever-handle/productDetail/sink-faucets/422314.htm?skuId=1294825&brandId=1152540
,,,,https://www.us.kohler.com/us/catalog/productDetails.jsp?productId=425614&skuId=1284581
https://kohler.scene7.com/is/image/PAWEB/22170-G-CP_ISO_d2c0018062_rgb,showerhead,"Kohler
Purist
Three-function showerhead, 1.75 gpm",K-22170-G-CP,https://www.us.kohler.com/us/purist-1.75-gpm-multifunction-showerhead-with-katalyst-air-induction-technology/productDetail/showerheads/1476691.htm?skuId=1566064&brandId=1148925
https://kohler.scene7.com/is/image/PAWEB/13696-G-CP_ISO_d2c0017211_rgb,showerhead,"Kohler
K-13696
Contemporary Square 10"" Single-Function Rainhead, 2.5 GPM",K-13696-CP,https://www.kohler.com/en/products/showers/shop-shower-heads/contemporary-round-10-single-function-rainhead-2-5-gpm-13696
https://kohler.scene7.com/is/image/PAWEB/zac39499_rgb,valve trim,"Kohler
Purist
Rite-Temp® valve trim with push-button diverter and cross handle",K-T14501-3,https://www.kohler.com/en/products/showers/shop-shower-trims-valves/purist-rite-temp-valve-trim-wit-push-button-diverter-and-cross-handle-t14501-3
https://www.deltafaucet.com/dw/image/v2/BFJJ_PRD/on/demandware.static/-/Sites-delta-master-catalog/default/dw52ef92c8/images/large/559LF-SSLPU-B1.png?sw=1800&sh=1800&sm=fit,bathroom faucet,"Delta
Trinsic - Single handle bathroom faucet
Stainless",559LF-SSLPU,https://www.deltafaucet.com/bathroom/product/559LF-SSLPU
https://www.deltafaucet.com/dw/image/v2/BFJJ_PRD/on/demandware.static/-/Sites-delta-master-catalog/default/dw15ad0bf3/images/large/T14259-SS-B1.png?sw=1800&sh=1800&sm=fit,shower trim,"Delta
Monitor® 14 Series H2Okinetic® Shower Trim
Stainless",T14259-SS,https://www.deltafaucet.com/bathroom/product/T14259-SS
,tub & shower trim,"Delta
Monitor 14 Series H2Okinetic Tub & Shower Trim
Stainless",T14459-SS,https://www.deltafaucet.com/bathroom/product/T14459-SS.html
https://kohler.scene7.com/is/image/PAWEB/zac85870_rgb,bathtub,"Kohler
Elmbrook
60"" x 30-1/4"" alcove bath, right drain",K-R23217-RA-0,https://www.us.kohler.com/us/elmbrook-60-x-30-alcove-bath-w-integral-apron-and-right-drain/productDetail/product:1787371/1787371.htm?skuId=1787340
https://kohler.scene7.com/is/image/PAWEB/6355-0_ISO_d2c0041381_rgb,toilet,"Kohler
Persuade Curv
Two-piece elongated toilet with skirted trapway, dual-flush",K-6355-0,https://www.us.kohler.com/us/persuade-curv-comfort-height-two-piece-elongated-dual-flush-toilet-w-top-mount-actuator-and-skirted-trapway/productDetail/toilets/1330460.htm?skuId=1330426&brandId=1165230
https://www.deltafaucet.com/dw/image/v2/BFJJ_PRD/on/demandware.static/-/Sites-delta-master-catalog/default/dw6b1c3a35/images/large/55085-SS-B1.png?sw=1800&sh=1800&sm=fit,hand shower,"Delta
Compel®
Stainless
Single-setting full body spray hand shower with wall mounting bracket",55085-SS,https://www.deltafaucet.com/bathroom/product/55085-SS
https://www.hinkley.com/media/catalog/product/9/5/957b645b2ab12ce044bad86f3bcad2127cb9dc5cd30ec321d1751d4e460b962b.jpeg,wall mount lantern,"Hinkley
Silo
Black",13594BK-LL,https://www.hinkley.com/13594bk-ll.html
https://www.hinkley.com/media/catalog/product/4/1/41b2de08de1136fa6f1cbf64ff126a0b28c474ad499b23531586673987912b77.jpeg,wall mount lantern,"Hinkley
Silo Small Down Light Wall Mount Lantern
Black",13590BK-LL,https://www.hinkley.com/13590bk-ll.html
https://lambertetfils.com/wp-content/uploads/2017/11/products_collection_dot-grid11a-1560x2079.jpg,suspension light,"Lambert & Fils
Dot Line Suspension
Brass or powder coated aluminium body",,https://lambertetfils.com/product/dot-line-suspension/
https://images.hermanmiller.group/m/a806b6fd84502b7e/W-DWR_6987_100154753_white_f.png?trim=auto&trim-sd=1&blend-mode=darken&blend=f8f8f8&bg=f8f8f8&auto=format&w=1000&q=70&h=1000&viewtype=hero,ceiling + pendant lamps,"Moooi
Random Light
White",100154753,https://www.dwr.com/lighting-ceiling/random-light/6987.html?lang=en_US&gclid=Cj0KCQiA09eQBhCxARIsAAYRiylJimpRfBktaUYGFdIfJCUF_JakDmBpF0mMUREipTplrxMRECzTU5AaAr7YEALw_wcB&gclsrc=aw.ds
,,,,
https://www.lightology.com/img/prod/original/880984.jpg,wall sconce,"Astro Lighting
Enna Reading Wall Sconce
Matte Gold",1058040,https://www.lightology.com/index.php?module=prod_detail&prod_id=880984&cat_id=146
,ceiling fan,"Emerson
Loft
Black
Note: Indoor use only",CF765BQ,https://www.emerson.lightingnewyork.com/product/emerson-fans-loft-indoor-ceiling-fans-cf765bq.html
"https://www.environmentallights.com/media/catalog/product/_/l/_ln-pf-2700k-comp.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=700&width=700&canvas=700:700",LED lighting,"Environmental Lights
Eluxtra™ ProFlex LED Neon
2700K - 5m reel",LN-PF-2700K-5m,https://www.environmentallights.com/18942-ln-pf-2700k-5m.html
https://kohler.scene7.com/is/image/PAWEB/zaa80028_rgb,towel ring,"Kohler
Purist
Polished Chrome",K-14441-CP,https://www.kohler.com/en/products/bathroom-accessories/shop-bathroom-accessories/purist-towel-ring-14441
https://kohler.scene7.com/is/image/PAWEB/zaa82116_rgb,towel bar,"Kohler
Purist
30"" towel bar",K-14437,https://www.kohler.com/en/products/bathroom-accessories/shop-bathroom-accessories/purist-30-towel-bar-14437
https://kohler.scene7.com/is/image/PAWEB/zaa77491_rgb,toilet paper holder,"Kohler
Purist
Pivoting toilet paper holder
K-14377-CP",K-14377-CP,https://www.kohler.com/en/products/bathroom-accessories/shop-bathroom-accessories/purist-pivoting-toilet-paper-holder-14377
https://kohler.scene7.com/is/image/PAWEB/zaa81761_rgb,robe hook,"Kohler
Purist
Robe Hook
Chrome",K-14443-CP,https://www.us.kohler.com/us/purist-robe-hook/productDetail/robe-hooks/421804.htm?skuId=381666&brandId=1152540
,towel bar,"Delta
12"" Towel Bar
Stainless",75912-SS,https://www.deltafaucet.com/bathroom/product/75912-SS
,towel bar,"Delta
24"" Double Towel Bar
Stainless",75925-SS,https://www.deltafaucet.com/bathroom/product/75925-SS
,tissue holder,"Delta
Tissue Holder
Stainless",75950-SS,https://www.deltafaucet.com/bathroom/product/75950-SS
https://assets.pbimgs.com/pbimgs/ab/images/dp/wcm/202511/0036/moritz-round-mirror-m.jpg,mirror,"Pottery Barn
Moritz Round
Gold",,https://www.potterybarn.com/products/moritz-round-mirror/?catalogId=84&sku=5705623&cm_ven=PLA&cm_cat=Google&cm_pla=Bath%20%3E%20Mirrors&region_id=792000&cm_ite=5705623&gclid=CjwKCAjw1uiEBhBzEiwAO9B_HZ2_K_j4vByLB9LG5R7Wzjl5-7CvVK2uO_EUyZ14R4qGoFl7nelQ-hoCCDcQAvD_BwE
https://images.hermanmiller.group/m/c1d1f1dc5f75de92/W-DWR_1458_100089464_matte_black_f.png?trim=auto&trim-sd=1&blend-mode=darken&blend=f8f8f8&bg=f8f8f8&auto=format&w=1000&q=70&h=1000&viewtype=hero,mirror,"Design Within Reach
Mondrian Mirror
22"" x 44""
Lightweight extruded aluminum frame",100089464,https://www.dwr.com/accessories-entryway/mondrian-mirrors/1458.html?lang=en_US
https://www.lg.com/us/images/washers-dryers/md06065096/4502.jpg,front load washer,"LG
WM3900HBA
Black Steel
4.5 cu.ft. Smart Wi-Fi Enabled with TurboWash™ 360 Technology",WM3900HBA,https://www.lg.com/us/washers/lg-WM3900HBA-front-load-washer
https://www.lg.com/us/images/washers-dryers/MD06076996/450_v1.jpg,gas dryer,"LG
DLGX3901B
Black Steel
7.4 cu. ft. Smart wi-fi Enabled Gas Dryer with TurboSteam™",DLGX3901B,https://www.lg.com/us/dryers/lg-DLGX3901B-gas-dryer
